source_uri,domain_url,newspaper_name,newspaper_url,country_name,country_url,rank_in_country,status,dominant_language,language_percentage,rerun,rerun_keyword_only,need_scrape
realitatea.net,https://www.realitatea.net, Realitatea Bihoreana,http://www.4imn.com/reviews/16520.htm,Romania,http://www.4imn.com/ro/,2,success,ron,100.0,,,
gsp.ro,http://www.gsp.ro, Gazeta Sporturilor,http://www.4imn.com/reviews/16541.htm,Romania,http://www.4imn.com/ro/,3,success,ron,100.0,,,
libertatea.ro,http://www.libertatea.ro, Libertatea,http://www.4imn.com/reviews/16544.htm,Romania,http://www.4imn.com/ro/,4,success,ron,100.0,,,
evz.ro,https://evz.ro, Evenimentul Zilei,http://www.4imn.com/reviews/16539.htm,Romania,http://www.4imn.com/ro/,5,success,ron,100.0,,,
gazetaexpress.com,http://www.gazetaexpress.com, Express,http://www.4imn.com/reviews/16785.htm,Serbia,http://www.4imn.com/rs/,1,success,eng,98.0,,,
blic.rs,http://www.blic.rs, Blic,http://www.4imn.com/reviews/3352.htm,Serbia,http://www.4imn.com/rs/,2,success,srp,100.0,,,
kurir.rs,http://www.kurir.rs, Kurir,http://www.4imn.com/reviews/3356.htm,Serbia,http://www.4imn.com/rs/,3,success,hrv,70.0,,,
novosti.rs,http://www.novosti.rs, Vecernje Novosti,http://www.4imn.com/reviews/3355.htm,Serbia,http://www.4imn.com/rs/,4,success,srp,100.0,,,
telegraf.rs,http://www.telegraf.rs, Nedeljni Telegraf,http://www.4imn.com/reviews/16794.htm,Serbia,http://www.4imn.com/rs/,5,success,hrv,72.0,,,
sme.sk,http://www.sme.sk, SME,http://www.4imn.com/reviews/1254.htm,Slovakia,http://www.4imn.com/sk/,1,success,slk,100.0,,,
topky.sk,http://www.topky.sk, Bleskovky,http://www.4imn.com/reviews/1260.htm,Slovakia,http://www.4imn.com/sk/,2,failed,slk,100.0,Yes,,
cas.sk,http://www.cas.sk, Novy Cas,http://www.4imn.com/reviews/16830.htm,Slovakia,http://www.4imn.com/sk/,3,failed,eng,71.43,,,Yes
pravda.sk,http://www.pravda.sk, Pravda,http://www.4imn.com/reviews/1256.htm,Slovakia,http://www.4imn.com/sk/,4,failed,slk,100.0,Yes,,
pluska.sk,http://www.pluska.sk, Plus Jeden Den,http://www.4imn.com/reviews/16831.htm,Slovakia,http://www.4imn.com/sk/,5,success,slk,100.0,,,
delo.si,http://www.delo.si, Delo,http://www.4imn.com/reviews/1262.htm,Slovenia,http://www.4imn.com/si/,1,success,slv,100.0,,,
dnevnik.si,http://www.dnevnik.si, Dnevnik,http://www.4imn.com/reviews/1263.htm,Slovenia,http://www.4imn.com/si/,2,success,slv,100.0,,,
zurnal24.si,http://www.zurnal24.si, Zurnal,http://www.4imn.com/reviews/16861.htm,Slovenia,http://www.4imn.com/si/,3,success,slv,100.0,,,
slovenskenovice.si,http://www.slovenskenovice.si, Slovenske novice,http://www.4imn.com/reviews/18595.htm,Slovenia,http://www.4imn.com/si/,4,success,slv,100.0,,,
finance.si,http://www.finance.si, Finance,http://www.4imn.com/reviews/16859.htm,Slovenia,http://www.4imn.com/si/,5,success,slv,50.0,,,
elpais.com,http://elpais.com, El País,http://www.4imn.com/reviews/1300.htm,Spain,http://www.4imn.com/es/,1,success,spa,100.0,,,
marca.com,http://www.marca.com, Marca,http://www.4imn.com/reviews/1298.htm,Spain,http://www.4imn.com/es/,2,success,spa,94.0,,,
elmundo.es,http://www.elmundo.es, El Mundo,http://www.4imn.com/reviews/1297.htm,Spain,http://www.4imn.com/es/,3,success,spa,100.0,,,
as.com,http://as.com, AS,http://www.4imn.com/reviews/1299.htm,Spain,http://www.4imn.com/es/,4,success,spa,100.0,,,
abc.es,http://www.abc.es, ABC,http://www.4imn.com/reviews/1301.htm,Spain,http://www.4imn.com/es/,5,success,spa,100.0,,,
aftonbladet.se,http://www.aftonbladet.se, Aftonbladet,http://www.4imn.com/reviews/1356.htm,Sweden,http://www.4imn.com/se/,1,failed,swe,100.0,Yes,,
expressen.se,http://www.expressen.se, Expressen,http://www.4imn.com/reviews/1357.htm,Sweden,http://www.4imn.com/se/,2,success,eng,100.0,,,
dn.se,http://www.dn.se, Dagens Nyheter,http://www.4imn.com/reviews/1358.htm,Sweden,http://www.4imn.com/se/,3,success,swe,100.0,,,
svd.se,http://www.svd.se, Svenska Dagbladet,http://www.4imn.com/reviews/1360.htm,Sweden,http://www.4imn.com/se/,4,success,eng,96.0,,,
gp.se,http://www.gp.se, Göteborgs-Posten,http://www.4imn.com/reviews/1362.htm,Sweden,http://www.4imn.com/se/,5,success,swe,100.0,,,
20min.ch,http://www.20min.ch,20 Minuten,http://www.4imn.com/reviews/17326.htm,Switzerland,http://www.4imn.com/ch/,1,success,deu,100.0,,,
nzz.ch,http://www.nzz.ch, Neue Zürcher Zeitung,http://www.4imn.com/reviews/1386.htm,Switzerland,http://www.4imn.com/ch/,2,success,deu,100.0,,,
blick.ch,http://www.blick.ch, Blick,http://www.4imn.com/reviews/1385.htm,Switzerland,http://www.4imn.com/ch/,3,success,deu,100.0,,,
